time,open,high,low,close,SMA50,SMA100,SMA200,Basis_BB,Upper_BB,Lower_BB,RSI,RSI-based MA,Upper Bollinger Band,Lower Bollinger Band,Regular Bullish,Regular Bullish Label,Regular Bearish,Regular Bearish Label,Histogram(Signal-MACD),MACD(fast-slow),Signal_sma9,OnBalanceVolume,StochasticOscillator,StochasticOscillator_SMA3,Accumulation/Distribution,Aroon Up,Aroon Down
16/10/2007,154.41,156.48,153.47,153.78,149.5059996,150.4182001,147.5933501,153.945,157.1086724,150.7813276,53.37628406,62.82230733,NaN,NaN,NaN,NaN,NaN,NaN,-0.158519234,1.610619305,1.769138539,3971260397,32.49097473,58.22173753,5035323391,78.57142857,0
17/10/2007,154.98,155.09,152.47,154.25,149.6355996,150.4438001,147.6565001,153.9895,157.1440305,150.8349695,55.01119831,62.30424471,NaN,NaN,NaN,NaN,NaN,NaN,-0.245625733,1.462106372,1.707732105,4187932957,40.97472924,44.17312481,5113060874,71.42857143,7.142857143
18/10/2007,153.45,154.19,153.08,153.69,149.7127996,150.4583,147.7181001,154.06,157.1201705,150.9998295,52.64255374,61.76843936,NaN,NaN,NaN,NaN,NaN,NaN,-0.338653252,1.28441554,1.623068792,4039504589,24.15841584,32.54137327,5127769992,64.28571429,0
19/10/2007,153.09,156.48,149.66,149.67,149.7983996,150.4202,147.7581001,153.945,157.4510724,150.4389276,39.49571169,59.98023267,NaN,NaN,39.49571169,NaN,NaN,NaN,-0.650552553,0.809878101,1.460430654,3742355917,0.127226463,21.75345718,4831492723,57.14285714,100
22/10/2007,148.86,150.75999,148.66,150.53999,149.9149992,150.3923998,147.8081001,153.8874995,157.5727582,150.2022408,42.82363948,58.49548927,NaN,NaN,NaN,NaN,NaN,NaN,-0.76973569,0.498261041,1.267996731,4004301293,21.21884876,15.16816369,5038554045,50,100
23/10/2007,151.46001,151.95,150.25,151.75999,150.045599,150.3691997,147.8609501,153.905999,157.5443395,150.2676585,47.20874434,57.42472368,NaN,NaN,NaN,NaN,NaN,NaN,-0.737789089,0.34576037,1.083549459,4184287725,34.98860045,18.77822522,5178306098,42.85714286,92.85714286
24/10/2007,151.21001,151.74001,148,151.48,150.2149992,150.3429996,147.913,153.870499,157.5881117,150.1528863,46.33053478,56.24221471,NaN,NaN,NaN,NaN,NaN,NaN,-0.706836277,0.200004113,0.90684039,3857705709,36.55462185,30.92069035,5459479364,35.71428571,100
25/10/2007,151.64999,152.28999,149.88,151.84,150.4309994,150.3264995,147.9645001,153.807999,157.6169055,149.9990925,47.67826363,54.81206026,NaN,NaN,NaN,NaN,NaN,NaN,-0.63567526,0.112246315,0.747921575,4095051773,40.33613445,37.29311892,5608191570,28.57142857,92.85714286
26/10/2007,153.06,153.62,151.89999,153.62,150.6613992,150.3442995,148.0218001,153.859999,157.6286095,150.0913885,53.84927027,54.11084891,NaN,NaN,NaN,NaN,NaN,NaN,-0.450972982,0.184205348,0.63517833,4271540269,59.03361345,45.30812325,5784680066,21.42857143,85.71428571
29/10/2007,153.92999,154.44,153.55,154.13,150.849799,150.3945994,148.07625,153.851499,157.616867,150.086131,55.46982292,53.26215022,NaN,NaN,NaN,NaN,NaN,NaN,-0.284808215,0.279168061,0.563976276,4378359517,64.3907563,54.58683473,5817085906,14.28571429,78.57142857
30/10/2007,153.45,153.75,152.87,153.06,151.018199,150.4147995,148.12675,153.799999,157.5790603,150.0209377,51.39243482,52.2140067,NaN,NaN,NaN,NaN,NaN,NaN,-0.239155805,0.26503152,0.504187325,4245388701,53.1512605,58.85854342,5741534306,7.142857143,71.42857143
31/10/2007,153.98,155.27,152.84,154.64999,151.212599,150.4482994,148.1848999,153.8434985,157.6406228,150.0463742,56.50838288,51.79536202,NaN,NaN,NaN,NaN,56.50838288,NaN,-0.101131949,0.377772389,0.478904338,4466316269,78.4196934,65.32057007,5849723354,0,64.28571429
01/11/2007,153.28999,153.41,150.59,151.03,151.3001992,150.4620995,148.22735,153.6939985,157.6821906,149.7058064,44.91709735,50.37503303,NaN,NaN,NaN,NaN,NaN,NaN,-0.24470515,0.1730229,0.41772805,4133349869,35.73113208,55.76736199,5620661362,14.28571429,57.14285714
02/11/2007,151.53,152,149.21001,151.2,151.3937992,150.4551995,148.2692499,153.461498,157.4619703,149.4610257,45.48265857,49.44189977,NaN,NaN,NaN,NaN,NaN,NaN,-0.314825547,0.024196117,0.339021663,4464569325,37.73584906,50.62889151,5761933496,7.142857143,50
05/11/2007,149.64,151.16,148,150.05,151.4281992,150.4270995,148.3075999,153.212998,157.4080722,149.0179238,42.31735799,48.65197648,NaN,NaN,NaN,NaN,NaN,NaN,-0.418753087,-0.184419695,0.234333392,4237803389,24.1745283,32.54716981,5829389186,0,42.85714286
06/11/2007,150.86,152.11,149.89999,152.07001,151.5305994,150.4170995,148.35395,152.9924985,156.933411,149.051586,49.02768707,48.22458282,NaN,NaN,NaN,NaN,NaN,NaN,-0.33516518,-0.184623084,0.150542097,4415533021,47.99540094,36.63525943,6000686804,14.28571429,35.71428571
07/11/2007,150.44,152.10719,147.55,147.91,151.6143994,150.3672995,148.37375,152.5769985,156.8105827,148.3434143,38.97264127,47.2481605,NaN,NaN,NaN,NaN,NaN,NaN,-0.532058571,-0.514531117,0.017527454,4109083869,4.031354983,25.40042808,5742654195,7.142857143,100
08/11/2007,147.99001,149.3,145.07001,147.16,151.6267996,150.3061995,148.39825,152.1614985,156.7904895,147.5325075,37.48020373,47.10419565,NaN,NaN,NaN,NaN,NaN,NaN,-0.675599186,-0.826971529,-0.151372343,3734679517,20.49011813,24.17229135,5738227716,0,100
09/11/2007,145.69,147.53999,144.89,145.14,151.6065998,150.2461995,148.41315,151.6019985,156.7556772,146.4483198,33.73332014,46.45488713,NaN,NaN,NaN,NaN,NaN,NaN,-0.857683285,-1.223476449,-0.365793164,3456948189,2.408477842,8.976650318,5512898724,50,100
12/11/2007,145.21001,146.61,143.7,143.7,151.5287998,150.1633995,148.4214,151.036499,156.9902104,145.0827876,31.3289059,45.32061295,NaN,NaN,31.3289059,NaN,NaN,NaN,-1.015411466,-1.635057496,-0.61964603,3213931373,0,7.632865323,5269881908,42.85714286,100
13/11/2007,145.37,148.31,145.22,148.08,151.5087998,150.1386995,148.4478501,150.751499,156.6983131,144.8046849,44.3272779,45.17752317,NaN,NaN,NaN,NaN,NaN,NaN,-0.775872324,-1.589486436,-0.813614111,3405004749,37.8565255,13.42166778,5432510703,35.71428571,92.85714286
14/11/2007,149.22,149.39999,146.78,147.67,151.5064,150.1170995,148.4674501,150.422499,156.2861889,144.5588091,43.49729026,44.87888222,NaN,NaN,NaN,NaN,NaN,NaN,-0.603809,-1.568375361,-0.964566361,3174479869,34.31287813,24.05646788,5358602561,28.57142857,85.71428571
15/11/2007,146.57001,147.49001,144.52,145.53999,151.4545998,150.0895995,148.4721,150.0149985,156.0441857,143.9858113,39.37272218,43.84484307,NaN,NaN,NaN,NaN,NaN,NaN,-0.59144887,-1.703877449,-1.112428579,2911428189,15.9031115,29.35750504,5276230463,21.42857143,78.57142857
16/11/2007,146.31,146.47,144.57001,145.78999,151.4489994,150.0434995,148.477,149.820998,156.1255113,143.5164847,40.0907695,42.74633925,NaN,NaN,NaN,NaN,NaN,NaN,-0.526600839,-1.770679627,-1.244078789,3220185437,18.06387208,22.7599539,5363978110,14.28571429,71.42857143
19/11/2007,145.28,145.36,143.19,143.75999,151.4083994,149.9772994,148.4715499,149.481998,156.3033599,142.6606361,36.3283173,41.67033086,NaN,NaN,NaN,NaN,NaN,NaN,-0.576557891,-1.964776152,-1.388218261,2952472813,4.718460265,12.89514795,5236904674,7.142857143,100
20/11/2007,144.02,145.53,142.11,144.64,151.3513992,149.9193995,148.4702999,149.1259985,156.1740603,142.0779367,39.00087127,40.41979432,NaN,NaN,NaN,NaN,NaN,NaN,-0.508829583,-2.02425524,-1.515425657,3367197421,22.38938053,15.05723763,5435778462,0,100
21/11/2007,143.08,143.91,141.67,141.67999,151.227599,149.8182995,148.4526498,148.635998,156.2972718,140.9747242,33.8536184,39.62954582,NaN,NaN,33.8536184,NaN,NaN,NaN,-0.614790181,-2.283913384,-1.669123202,3108037101,0.095689655,9.067843484,5178929760,0,100
23/11/2007,143.07001,144.34,142.7,144.13,151.131999,149.7361995,148.4481998,148.250498,156.0034557,140.4975403,40.8161011,39.29622029,NaN,NaN,NaN,NaN,NaN,NaN,-0.477404922,-2.265879355,-1.788474433,3185721725,23.56321839,15.34942953,5236719541,14.28571429,92.85714286
26/11/2007,144.42999,144.88,140.66,140.95,150.9729992,149.6238996,148.4332498,147.616998,155.5791716,139.6548244,35.58105191,38.81505557,NaN,NaN,NaN,NaN,NaN,NaN,-0.552903139,-2.479603356,-1.926700218,2971556285,2.532751092,8.730553046,5051989161,7.142857143,100
27/11/2007,141.74001,143.23,140.95,142.57001,150.8623992,149.5197997,148.4288498,147.0389985,154.6986625,139.3793345,39.81597692,38.15707627,NaN,NaN,NaN,NaN,NaN,NaN,-0.450289251,-2.489561781,-2.03927253,3265388477,16.68540489,14.26045812,5175710557,0,92.85714286
28/11/2007,144.19,147.47,144.14,147.13,150.755799,149.4610997,148.4411998,146.7424985,153.888824,139.596173,49.81652313,38.93163926,NaN,NaN,NaN,NaN,NaN,NaN,-0.05276838,-2.105233005,-2.052464625,3524457229,74.02754465,31.08190021,5381876380,0,85.71428571
29/11/2007,146.62,147.72,146.10001,147.17999,150.6321988,149.4236996,148.4490498,146.3689985,152.5370253,140.2009717,49.91477844,39.81982317,NaN,NaN,NaN,NaN,NaN,NaN,0.22105838,-1.776141651,-1.99720003,3723637789,74.59951327,55.10415427,5448266622,28.57142857,78.57142857
30/11/2007,149.03999,149.87,147.33,148.66,150.5597988,149.3903995,148.4633498,146.2504985,152.1405865,140.3604105,52.85765896,41.18584737,NaN,NaN,NaN,NaN,NaN,NaN,0.493758314,-1.380002138,-1.873760452,3946524285,86.86210641,78.49638811,5458796692,100,71.42857143
03/12/2007,148.19,148.45,147.28999,147.67999,150.4739986,149.3232994,148.4730997,146.074498,151.5588766,140.5901194,50.73199076,42.571782,NaN,NaN,NaN,NaN,NaN,NaN,0.593338491,-1.132087338,-1.725425829,3800596413,76.22138979,79.22766982,5410991888,92.85714286,64.28571429
04/12/2007,146.66,147.54089,146.31,146.36,150.3673986,149.2383993,148.4746998,145.889998,151.0666404,140.7133556,47.93576622,42.82953117,NaN,NaN,NaN,NaN,NaN,NaN,0.556141332,-1.030249164,-1.586390496,3664067853,61.88925081,74.99091567,5285555185,85.71428571,57.14285714
05/12/2007,147.92999,149.2,147.83,148.81,150.3157986,149.1781993,148.4888498,145.7269975,150.2831057,141.1708893,53.10254149,43.51562054,NaN,NaN,NaN,NaN,NaN,NaN,0.674489122,-0.743279094,-1.417768215,3835104541,88.4907709,75.53380384,5359213321,78.57142857,50
06/12/2007,148.63,151.21001,148.57001,150.94,150.2907986,149.1400993,148.5141998,145.8784975,150.8933048,140.8636902,57.08950127,44.78110476,NaN,NaN,NaN,NaN,NaN,NaN,0.862166535,-0.340060046,-1.202226582,3989647101,97.44066593,82.60689588,5482143732,100,42.85714286
07/12/2007,151.42,151.5,150.55,150.91,150.2471986,149.1044993,148.5422498,146.0659975,151.5196588,140.6123362,57.01597958,45.99004834,NaN,NaN,NaN,NaN,NaN,NaN,0.943648848,-0.022665521,-0.96631437,3840667037,94.55719557,93.4962108,5446074874,100,35.71428571
